"assessid","stockid","country","region","assesssource","method","methodlong","M","M_notes","ty","B_ty","B_type","B_unit","TBbest_ty","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.4.pdf","Unknown","Unknown",NA,NA,2015,70700,"SSB-MT","MT",NA,NA,NA,NA,NA,70700,135000,NA,NA,0.013,0.016
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2015,71300,"SSB-MT","MT",NA,NA,NA,NA,NA,71300,136000,NA,NA,0.01,0.013
"NEFSC-SFLOUNMATLC-1940-2012-HIVELY","SFLOUNMATLC","USA","US East Coast","http://nefsc.noaa.gov/publications/crd/crd1316/parta.pdf","Statistical catch at age model","Age Structured Assessment Program","0.25","",2012,51200,"SSB-MT","MT",NA,NA,NA,117000000,118000000,51200,51100,NA,NA,0.285,0.359
"NEFSC-SFLOUNMATLC-1982-2014-SISIMP2016","SFLOUNMATLC","USA","US East Coast","","Statistical catch at age model","Age Structured Assessment Program",NA,NA,2012,45300,"SSB-MT","MT",NA,NA,NA,NA,NA,45300,45400,NA,NA,0.357,0.448
"CSIRO-SILVERFISHSE-1978-2006-FULTON","SILVERFISHSE","Australia","Australia","Received from CSIRO assessment team","Integrated Analysis","Stock Synthesis v2.0 model","0.25","",2006,14100,"TBbest-MT","MT",14100,14100,15000,NA,NA,10200,11400,NA,NA,0.017,0.35
"CSIRO-SILVERFISHSE-1980-2014-MOESENEDER","SILVERFISHSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.3","Fem and Male",2006,20900,"TBbest-MT","MT",20900,20900,22600,NA,NA,15200,14800,NA,NA,0.11,0.12
"CSIRO-SILVERFISHSE-1980-2017-MOESENEDER","SILVERFISHSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.3","Single Sex",2006,15795.5,"TBbest-MT","MT",15795.5,15795.5,17185.7,NA,NA,10605.9,10012.9,NA,NA,0.1611885,0.1840502
"NIWA-SMOOTHOREOCR-1955-2013-FU","SMOOTHOREOCR","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23760/FAR_2015_07_2870_DEE2010-02OEOC%20(Obj.%201,%20MS8,%20RR2).pdf.ashx","Integrated Analysis","CASAL","0.06","",2010,49000,"SSB-MT","MT",NA,NA,NA,NA,NA,49000,52900,NA,NA,0.112,0.101
"NIWA-SMOOTHOREOCR-1978-2010-CORDUE","SMOOTHOREOCR","New Zealand","New Zealand","https://fs.fish.govt.nz/Page.aspx?pk=61&tk=212","Integrated Analysis","CASAL","0.06","",2010,62900,"SSB-MT","MT",NA,NA,NA,NA,NA,62900,64800,NA,NA,0.0423,0.0409
"STECF-SMULLMEDGSA9-2004-2010-OSIO","SMULLMEDGSA9","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf","VPA","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992",NA,NA,2009,335,"SSB-MT","MT",NA,NA,NA,NA,NA,335,NA,NA,NA,0.7,NA
"STECF-SMULLMEDGSA9-2006-2015-OSIO","SMULLMEDGSA9","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/1567060/2017-04_STECF+17-06+-+MED+assessments+2016+-+part+2.pdf","VPA","Extended Survivor Analysis",NA,NA,2009,585,"SSB-MT","MT",1450,1450,1190,NA,NA,585,526,NA,NA,0.406,0.53
"AFSC-SNOWCRABBS-1978-2013-HIVELY","SNOWCRABBS","USA","US Alaska","http://www.afsc.noaa.gov/Publications/assessments.htm","Biomass dynamics model","Size-structured population dynamics model","0.18","",2012,170000,"SSB-MT","MT",NA,NA,NA,NA,NA,170000,185000,NA,NA,0.59,0.56
"AFSC-SNOWCRABBS-1979-2015-SISIMP2016","SNOWCRABBS","USA","US Alaska","","Unknown","Unknown",NA,NA,2012,149000,"SSB-MT","MT",679000,679000,657000,NA,NA,149000,193000,NA,NA,0.63,0.28
"DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON","SNOWCRABSGSL","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/CSAS/Csas/Publications/ResDocs-DocRech/2008/2008_040_e.htm","Survey index","Temporal indices derived from scientific survey data","0.38","Wade, E., T. Surette, J. Apaloo, and M. Moriyasu, 2003. Estimation of mean annual natural mortality for adult male snow crab, Chionoecetes opilio, in the southern Gulf of St. Lawrence. DFO Can. Sci. Advis. Sec. Res. Doc. 2003/016.",2007,50600,"TBbest-MT","MT",50600,50600,61900,NA,NA,NA,NA,NA,NA,0.459,0.419
"DFO-SNOWCRABSGSL-1987-2014-WATSON","SNOWCRABSGSL","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_081-eng.pdf","Survey index","Survey based stock assessment method",NA,NA,2007,66700,"TBbest-MT","MT",66700,66700,74300,NA,NA,NA,NA,NA,NA,0.362,0.353
"WGCSE-SOLECS-1970-2013-ICESIMP2016","SOLECS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-celt.pdf","Unknown","Unknown",NA,NA,2010,5410,"TBbest-MT","MT",5410,5410,5580,NA,NA,3580,3420,NA,NA,0.32,0.267
"WGCSE-SOLECS-1970-2014-ICESIMP2016","SOLECS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-celt.pdf","Unknown","Unknown",NA,NA,2010,4840,"TBbest-MT","MT",4840,4840,5190,NA,NA,3070,2850,NA,NA,0.319,0.275
"WGCSE-SOLECS-1970-2015-ICESIMP2016","SOLECS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-celt.pdf","Unknown","Unknown",NA,NA,2010,5050,"TBbest-MT","MT",5050,5050,5360,NA,NA,3190,2930,NA,NA,0.305,0.267
"WGCSE-SOLECS-1970-2016-ICESIMP2016","SOLECS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-celt.pdf","Unknown","Unknown",NA,NA,2010,5010,"TBbest-MT","MT",5010,5010,5320,NA,NA,3170,2910,NA,NA,0.303,0.269
"WGCSE-SOLECS-1970-2017-ICESIMP2018","SOLECS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7fg.pdf","Unknown","Unknown",NA,NA,2010,4890,"TBbest-MT","MT",4890,4890,5200,NA,NA,3100,2860,NA,NA,0.308,0.274
"WGCSE-SOLECS-1970-2018-ICESIMP2018","SOLECS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,4560,"TBbest-MT","MT",4560,4560,4850,NA,NA,2830,2580,NA,NA,0.329,0.305
"WGSSDS-SOLECS-1970-2011-NEUBAUER","SOLECS","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGCSE/07.13_Sole%20VIIfg.pdf","VPA","Extended Survivor Analysis","0.1","",2010,5490,"TBbest-MT","MT",5490,5490,5790,NA,NA,3870,3760,NA,NA,0.366,0.393
"WGBFAS-SOLEIIIa-2224-1982-2013-ICESIMP2016","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-kask.pdf","Unknown","Unknown",NA,NA,2010,1700,"SSB-MT","MT",NA,NA,NA,NA,NA,1700,1980,NA,NA,0.353,0.351
"WGBFAS-SOLEIIIa-2224-1982-2014-ICESIMP2016","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-kask.pdf","Unknown","Unknown",NA,NA,2010,1620,"SSB-MT","MT",NA,NA,NA,NA,NA,1620,1890,NA,NA,0.393,0.382
"WGBFAS-SOLEIIIa-2224-1983-2015-ICESIMP2016","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-kask.pdf","Unknown","Unknown",NA,NA,2010,2220,"SSB-MT","MT",2780,2780,2990,NA,NA,2220,2460,NA,NA,0.22,0.234
"WGBFAS-SOLEIIIa-2224-1983-2016-ICESIMP2016","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-kask.pdf","Unknown","Unknown",NA,NA,2010,2180,"SSB-MT","MT",2860,2860,3070,NA,NA,2180,2440,NA,NA,0.224,0.239
"WGBFAS-SOLEIIIa-2224-1983-2017-ICESIMP2018","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.20-24.pdf","Unknown","Unknown",NA,NA,2010,2080,"SSB-MT","MT",2740,2740,2970,NA,NA,2080,2350,NA,NA,0.235,0.254
"WGBFAS-SOLEIIIa-2224-1983-2018-ICESIMP2018","SOLEIIIa-2224","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,2090,"SSB-MT","MT",2760,2760,3000,NA,NA,2090,2390,NA,NA,0.236,0.248
"WGNSSK-SOLEIIIa-2224-1982-2011-NEUBAUER","SOLEIIIa-2224","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2003%20Sole%20in%20Division%20IIIa%20and%20Subdivisions%2022-23.pdf","Statistical catch at age model","State-space catch at age time series analysis","0.1","",2010,1830,"SSB-MT","MT",2530,2530,2910,NA,NA,1830,2130,NA,NA,0.339,0.323
"WGCSE-SOLEIS-1968-2013-ICESIMP2016","SOLEIS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-iris.pdf","Unknown","Unknown",NA,NA,2011,1240,"TBbest-MT","MT",1240,1240,1490,NA,NA,1100,1230,NA,NA,0.266129032258065,0.185906040268456
"WGCSE-SOLEIS-1968-2014-ICESIMP2016","SOLEIS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-iris.pdf","Unknown","Unknown",NA,NA,2011,1260,"TBbest-MT","MT",1260,1260,1480,NA,NA,1100,1220,NA,NA,0.261904761904762,0.187162162162162
"WGCSE-SOLEIS-1968-2015-ICESIMP2016","SOLEIS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-iris.pdf","Unknown","Unknown",NA,NA,2011,1300,"TBbest-MT","MT",1300,1300,1510,NA,NA,1130,1240,NA,NA,0.253846153846154,0.183443708609272
"WGCSE-SOLEIS-1968-2016-ICESIMP2016","SOLEIS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-iris.pdf","Unknown","Unknown",NA,NA,2011,1260,"TBbest-MT","MT",1260,1260,1470,NA,NA,1100,1200,NA,NA,0.261904761904762,0.18843537414966
"WGCSE-SOLEIS-1968-2017-ICESIMP2018","SOLEIS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,1270,"TBbest-MT","MT",1270,1270,1480,NA,NA,1110,1210,NA,NA,0.270866141732283,NA
"WGCSE-SOLEIS-1968-2018-ICESIMP2018","SOLEIS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,1270,"TBbest-MT","MT",1270,1270,1480,NA,NA,1110,1210,NA,NA,0.270866141732283,NA
"WGNSDS-SOLEIS-1968-2011-NEUBAUER","SOLEIS","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGCSE/06.8_Sole%20VIIa.pdf","VPA","Extended Survivor Analysis","0.1","",2011,1470,"TBbest-MT","MT",1470,1470,1400,NA,NA,1280,1220,NA,NA,1.37,0.196
"WGNSSK-SOLENS-1956-2010-NEUBAUER","SOLENS","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2010%20Sole%20in%20Subarea%20IV.pdf","VPA","Extended Survivor Analysis","0.1","",2010,35200,"SSB-MT","MT",NA,NA,NA,NA,NA,35200,34700,NA,NA,0.34,0.34
"WGNSSK-SOLENS-1956-2013-ICESIMP2016","SOLENS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-nsea.pdf","Unknown","Unknown",NA,NA,2010,31700,"SSB-MT","MT",52500,52500,45600,NA,NA,31700,32000,NA,NA,0.375,0.389
"WGNSSK-SOLENS-1956-2014-ICESIMP2016","SOLENS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-nsea.pdf","Unknown","Unknown",NA,NA,2010,30200,"SSB-MT","MT",NA,NA,NA,NA,NA,30200,31100,NA,NA,0.391,0.398
"WGNSSK-SOLENS-1956-2015-ICESIMP2016","SOLENS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-nsea.pdf","Unknown","Unknown",NA,NA,2010,29200,"SSB-MT","MT",53200,53200,43700,NA,NA,29200,29400,NA,NA,0.441,0.442
"WGNSSK-SOLENS-1956-2016-ICESIMP2016","SOLENS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-nsea.pdf","Unknown","Unknown",NA,NA,2010,31000,"SSB-MT","MT",NA,NA,NA,NA,NA,31000,31600,NA,NA,0.425,0.447
"WGNSSK-SOLENS-1956-2017-ICESIMP2018","SOLENS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.4.pdf","Unknown","Unknown",NA,NA,2010,31400,"SSB-MT","MT",56100,56100,47200,NA,NA,31400,32200,NA,NA,0.457,0.443
"WGNSSK-SOLENS-1956-2018-ICESIMP2018","SOLENS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,30900,"SSB-MT","MT",55300,55300,45500,NA,NA,30900,31200,NA,NA,0.437,0.423
"WGNSSK-SOLEVIId-1981-2011-NEUBAUER","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2009%20Sole%20in%20Subarea%20VIId.pdf","VPA","Extended Survivor Analysis","0.1","",2010,10200,"SSB-MT","MT",21300,21300,23300,NA,NA,10200,12200,NA,NA,0.456,0.486
"WGNSSK-SOLEVIId-1981-2013-ICESIMP2016","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-eche.pdf","Unknown","Unknown",NA,NA,2010,9150,"SSB-MT","MT",19400,19400,19400,NA,NA,9150,11600,NA,NA,0.491,0.523
"WGNSSK-SOLEVIId-1981-2014-ICESIMP2016","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-eche.pdf","Unknown","Unknown",NA,NA,2010,9130,"SSB-MT","MT",19600,19600,19300,NA,NA,9130,11500,NA,NA,0.489,0.53
"WGNSSK-SOLEVIId-1981-2015-ICESIMP2016","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-eche.pdf","Unknown","Unknown",NA,NA,2010,8990,"SSB-MT","MT",NA,NA,NA,NA,NA,8990,11500,NA,NA,0.49,0.54
"WGNSSK-SOLEVIId-1981-2016-ICESIMP2016","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-eche.pdf","Unknown","Unknown",NA,NA,2010,9140,"SSB-MT","MT",NA,NA,NA,NA,NA,9140,11600,NA,NA,0.48,0.54
"WGNSSK-SOLEVIId-1981-2017-ICESIMP2018","SOLEVIId","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7d.pdf","Unknown","Unknown",NA,NA,2010,15200,"SSB-MT","MT",22800,22800,25200,NA,NA,15200,17100,NA,NA,0.31,0.37
"WGNSSK-SOLEVIId-1981-2018-ICESIMP2018","SOLEVIId","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,15300,"SSB-MT","MT",22900,22900,25300,NA,NA,15300,17200,NA,NA,0.31,0.36
"WGCSE-SOLEVIIe-1967-2015-ICESIMP2016","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-echw.pdf","Unknown","Unknown",NA,NA,2010,3900,"SSB-MT","MT",4980,4980,4470,NA,NA,3900,3480,NA,NA,0.185,0.195
"WGCSE-SOLEVIIe-1967-2016-ICESIMP2016","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-echw.pdf","Unknown","Unknown",NA,NA,2010,3770,"SSB-MT","MT",4820,4820,4340,NA,NA,3770,3360,NA,NA,0.192,0.201
"WGCSE-SOLEVIIe-1967-2017-ICESIMP2018","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7e.pdf","Unknown","Unknown",NA,NA,2010,3620,"SSB-MT","MT",NA,NA,NA,NA,NA,3620,3220,NA,NA,0.2,0.208
"WGCSE-SOLEVIIe-1967-2018-ICESIMP2018","SOLEVIIe","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,3420,"SSB-MT","MT",4370,4370,3960,NA,NA,3420,3030,NA,NA,0.212,0.219
"WGCSE-SOLEVIIe-1968-2013-ICESIMP2016","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-echw.pdf","Unknown","Unknown",NA,NA,2010,3420,"SSB-MT","MT",4330,4330,4170,NA,NA,3420,3040,NA,NA,0.208,0.214
"WGCSE-SOLEVIIe-1968-2014-ICESIMP2016","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-echw.pdf","Unknown","Unknown",NA,NA,2010,3370,"SSB-MT","MT",4350,4350,4150,NA,NA,3370,2950,NA,NA,0.214,0.222
"WGSSDS-SOLEVIIe-1968-2010-NEUBAUER","SOLEVIIe","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGCSE/08.3_Sole%20VIIe_tabs_figs.pdf","VPA","FLR variant of Extended Survivor Analysis","0.1","",2010,2760,"SSB-MT","MT",3320,3320,3390,NA,NA,2760,2600,NA,NA,0.247,0.257
"WGBIE-SOLEVIIIab-1982-2016-ICESIMP2016","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/sol-bisc.pdf","Unknown","Unknown",NA,NA,2010,17500,"TBbest-MT","MT",17500,17500,16000,NA,NA,13200,11200,NA,NA,0.226857142857143,0.228125
"WGBIE-SOLEVIIIab-1982-2017-ICESIMP2018","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.8ab.pdf","Unknown","Unknown",NA,NA,2010,17200,"TBbest-MT","MT",17200,17200,15800,NA,NA,13000,11000,NA,NA,0.230813953488372,0.231012658227848
"WGBIE-SOLEVIIIab-1982-2018-ICESIMP2018","SOLEVIIIab","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,17100,"TBbest-MT","MT",17100,17100,15600,NA,NA,12800,10900,NA,NA,0.232163742690058,0.233974358974359
"WGBIE-SOLEVIIIab-1984-2014-ICESIMP2016","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/sol-bisc.pdf","Unknown","Unknown",NA,NA,2010,17900,"TBbest-MT","MT",17900,17900,16600,NA,NA,13800,11600,NA,NA,0.221787709497207,0.219879518072289
"WGBIE-SOLEVIIIab-1984-2015-ICESIMP2016","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/sol-bisc.pdf","Unknown","Unknown",NA,NA,2010,17500,"TBbest-MT","MT",17500,17500,16200,NA,NA,13400,11300,NA,NA,0.226857142857143,0.225308641975309
"WGHMM-SOLEVIIIab-1982-2011-NEUBAUER","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGHMM/Sec%2006%20-%20Bay%20of%20Biscay%20Sole.pdf","VPA","Extended Survivor Analysis","0.1","",2010,13300,"TBbest-MT","MT",13300,13300,15400,NA,NA,11800,11900,NA,NA,0.299,0.237
"WGHMM-SOLEVIIIab-1982-2013-ICESIMP2016","SOLEVIIIab","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/sol-bisc.pdf","Unknown","Unknown",NA,NA,2010,17800,"TBbest-MT","MT",17800,17800,17000,NA,NA,14000,11800,NA,NA,0.223033707865169,0.214705882352941
"GRP2-SOLMEDGSA17-1969-2011-BANOBI","SOLMEDGSA17","multinational","Mediterranean-Black Sea","http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html","VPA","Extended Survivor Analysis","0.35","mean M; vector by age is [0.7,0.35,0.28,0.25,0.23,0.22] for ages [0,1,2,3,4,5+]",2011,331,"SSB-MT","MT",NA,NA,NA,NA,NA,331,213,NA,NA,1.46,1.69
"STECF-SOLMEDGSA17-2006-2014-OSIO","SOLMEDGSA17","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/1291370/2015-05_STECF+16-08+MED+assessments+part+2_JRC101548.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2011,815,"SSB-MT","MT",NA,NA,NA,NA,NA,815,661,NA,NA,1.26,1.09
"IFOPCH-SOUTHHAKECH-1977-2011-CHING","SOUTHHAKECH","Chile","South America","NULL","Unknown","Unknown",NA,NA,2011,410000,"TBbest-MT","MT",410000,410000,417000,NA,NA,101000,98200,NA,NA,0.0305,0.0333
"IFOPCH-SOUTHHAKECH-1977-2015-PARMA","SOUTHHAKECH","Chile","South America","http://www.ifop.cl/wp-content/contenidos/uploads/informes_programas/INFORMES2015/15%20MERLUZA%20DEL%20SUR/Estatus%20y%20Cuota%20Merluza%20del%20sur2015.pdf","Statistical catch at age model","Unknown statistical catch-at-age model","0.21","",2011,322000,"TBbest-MT","MT",322000,322000,350000,NA,NA,116000,104000,NA,NA,0.0838509316770186,0.0945714285714286
"NIWA-SOUTHHAKESA-1974-2011-CORDUE","SOUTHHAKESA","New Zealand","New Zealand","http://fs.fish.govt.nz/Page.aspx?pk=61&tk=212","Integrated Analysis","CASAL","0.19","",2011,46700,"SSB-MT","MT",NA,NA,NA,NA,NA,46700,44800,NA,NA,0.0186,0.0187
"NIWA-SOUTHHAKESA-1974-2014-FU","SOUTHHAKESA","New Zealand","New Zealand","http://fs.fish.govt.nz/Doc/23793/FAR_2015_29_2906_DEE2010-02HAK%20C_Obj3_CS8.pdf.ashx","Integrated Analysis","CASAL","0.29","",2011,32600,"SSB-MT","MT",NA,NA,NA,NA,NA,32600,31700,NA,NA,0.0406,0.0608
"FAFRFJ-SPANMACKSETO-1987-2010-ONO","SPANMACKSETO","Japan","Japan","NULL","VPA","Virtual Population Analysis","0.3","",2010,4610,"TBbest-MT","MT",4610,4610,3640,NA,NA,1900,1740,NA,NA,0.313,0.376
"FAFRFJ-SPANMACKSETO-1987-2013-JPNIMP2016","SPANMACKSETO","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2554.pdf","Unknown","Unknown","0.3","",2010,4180,"TBbest-MT","MT",4180,4180,3700,NA,NA,1930,1730,NA,NA,0.344497607655502,0.372972972972973
"IFOPCH-SPHAKECH-1940-2015-TASCHERI","SPHAKECH","Chile","South America","NULL","Statistical catch at age model","Unknown statistical catch-at-age model","0.33","",2012,288000,"TBbest-MT","MT",288000,288000,291000,NA,NA,94400,104000,NA,NA,0.17,0.21
"IFOPCH-SPHAKECH-1968-2012-CHING","SPHAKECH","Chile","South America","NULL","Unknown","Unknown",NA,NA,2012,346000,"TBbest-MT","MT",346000,346000,376000,NA,NA,133000,141000,NA,NA,0.13,0.12
"WGBFAS-SPRAT22-32-1973-2011-NEUBAUER","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2008/WGBFAS/07-Sprat%20in%20Subdivisions%2022-32.pdf","VPA","Extended Survivor Analysis",NA,NA,2010,1500000,"TBbest-MT","MT",1500000,1500000,1840000,NA,NA,891000,854000,NA,NA,0.228,0.221
"WGBFAS-SPRAT22-32-1973-2013-ICESIMP2016","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-2232_201304142254.pdf","Unknown","Unknown",NA,NA,2010,1910000,"TBbest-MT","MT",1910000,1910000,2300000,NA,NA,1250000,1060000,NA,NA,0.179057591623037,0.17695652173913
"WGBFAS-SPRAT22-32-1973-2014-ICESIMP2016","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/spr-2232.pdf","Unknown","Unknown",NA,NA,2010,1950000,"TBbest-MT","MT",1950000,1950000,2280000,NA,NA,1250000,1040000,NA,NA,0.175384615384615,0.178508771929825
"WGBFAS-SPRAT22-32-1973-2015-ICESIMP2016","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/spr-2232.pdf","Unknown","Unknown",NA,NA,2010,1870000,"TBbest-MT","MT",1870000,1870000,2180000,NA,NA,1170000,999000,NA,NA,0.182887700534759,0.186697247706422
"WGBFAS-SPRAT22-32-1973-2016-ICESIMP2016","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/spr-2232.pdf","Unknown","Unknown",NA,NA,2010,1730000,"TBbest-MT","MT",1730000,1730000,2070000,NA,NA,1080000,953000,NA,NA,0.197687861271676,0.196618357487923
"WGBFAS-SPRAT22-32-1973-2017-ICESIMP2018","SPRAT22-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.22–32.pdf","Unknown","Unknown",NA,NA,2010,1740000,"TBbest-MT","MT",1740000,1740000,2070000,NA,NA,1080000,953000,NA,NA,0.196551724137931,0.196618357487923
"WGBFAS-SPRAT22-32-1973-2018-ICESIMP2018","SPRAT22-32","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,1710000,"TBbest-MT","MT",1710000,1710000,2030000,NA,NA,1050000,927000,NA,NA,0.2,0.200492610837438
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Unknown","Unknown",NA,NA,2007,142000,"SSB-MT","MT",1460000,1460000,1570000,NA,NA,142000,213000,NA,NA,1.27,0.825
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/spr-nsea.pdf","Unknown","Unknown",NA,NA,2007,145000,"SSB-MT","MT",1490000,1490000,1600000,NA,NA,145000,214000,NA,NA,1.24,0.797
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/spr-nsea.pdf","Unknown","Unknown",NA,NA,2007,256000,"SSB-MT","MT",947000,947000,1110000,NA,NA,256000,133000,NA,NA,1.41,0.998
